         Part Number       Quantity   Unit Cost  Unit Price     Total Cost    Total Price
            31396612              63        15.52        21.11          977.76         1329.93
            31081490               1        20.71        24.06           20.71           24.06
            29257517              83        10.76        13.93          893.08         1156.19
            71387635              81        14.74        17.92         1193.94         1451.52
            73657743              49        19.68        23.46          964.32         1149.54
            80955309               3        16.51        20.07           49.53           60.21
            61130267              34        10.88        14.34          369.92          487.56
            36760711              52        18.94        23.46          984.88         1219.92
            64463514               1        15.90        19.22           15.90           19.22
            17358405              66        15.82        21.08         1044.12         1391.28
            79334055              46        26.54        30.77         1220.84         1415.42
            55473817              57        19.13        22.13         1090.41         1261.41
            40176566              78        23.29        29.24         1816.62         2280.72
            85525597              18        17.05        22.42          306.90          403.56
            61677125              39        27.05        32.57         1054.95         1270.23
            18059483              19        13.66        17.57          259.54          333.83
            81379037              14        27.74        31.56          388.36          441.84
            83740526              23        19.56        22.59          449.88          519.57
            58445058               2        21.96        27.41           43.92           54.82
            43777863              67        16.83        20.60         1127.61         1380.20
            36733364              69        29.72        35.59         2050.68         2455.71
            35537534              60        27.18        32.16         1630.80         1929.60
            55000517              95        11.84        15.36         1124.80         1459.20
            59128090              11        16.39        20.12          180.29          221.32
            43941327              31        12.59        16.54          390.29          512.74
            84001619               3        20.58        24.48           61.74           73.44
            18422552             100        22.06        27.26         2206.00         2726.00
            86232263              80        11.06        14.93          884.80         1194.40
            49142030              36        23.15        28.01          833.40         1008.36
            68262175              92        19.83        24.50         1824.36         2254.00
            81296480              90        25.59        31.13         2303.10         2801.70
            77086674              85        18.06        23.88         1535.10         2029.80
            49045379              25        14.14        19.04          353.50          476.00
            46738486              38        14.87        19.44          565.06          738.72
            79891110               8        10.47        16.15           83.76          129.20
            64418724               9        21.15        25.22          190.35          226.98
            82011078              13        18.39        23.28          239.07          302.64
            34311148              62        12.77        18.19          791.74         1127.78
            88046718              25        22.56        27.49          564.00          687.25
            14599689              68        21.52        26.55         1463.36         1805.40
            43510588              29        25.05        29.18          726.45          846.22
            80581530              95        11.64        15.99         1105.80         1519.05
            86457838              45        22.84        25.86         1027.80         1163.70
            44493871              38        21.74        24.88          826.12          945.44
            63435178              55        22.04        27.16         1212.20         1493.80
            40749682              96        14.45        19.50         1387.20         1872.00
            77803747              70        26.72        29.74         1870.40         2081.80
            15917508              81        28.92        31.96         2342.52         2588.76
            15431795              95        15.33        19.15         1456.35         1819.25
            77445705              30        29.18        33.65          875.40         1009.50
            27470967              10        16.17        20.36          161.70          203.60
            18659990              43        15.01        20.76          645.43          892.68
            35539581              17        16.74        22.13          284.58          376.21
            58339617              68        13.73        18.72          933.64         1272.96
            13201627              70        18.12        24.09         1268.40         1686.30
            35303316              84        10.96        14.03          920.64         1178.52
            45117011             100        19.02        24.56         1902.00         2456.00
            47553915              25        19.60        25.24          490.00          631.00
            47216256              83        24.21        30.02         2009.43         2491.66
            54366510              24        13.73        18.58          329.52          445.92
            81735019              16        25.51        31.43          408.16          502.88
            72591229              27        15.58        20.41          420.66          551.07
            68458253              17        18.28        21.32          310.76          362.44
            48509677               4        25.20        29.71          100.80          118.84
            22217524              54        10.94        15.56          590.76          840.24
            21094940              53        12.59        17.31          667.27          917.43
            49052689              79        23.14        27.68         1828.06         2186.72
            80858072              98        13.32        16.89         1305.36         1655.22
            50036717               8        24.69        28.73          197.52          229.84
            83637016              69        27.45        31.72         1894.05         2188.68
            23026496              35        20.95        24.90          733.25          871.50
            55842246              48        15.98        21.43          767.04         1028.64
            50317035              30        22.64        25.68          679.20          770.40
            17103483              86        24.10        27.36         2072.60         2352.96
            86578282              36        29.59        33.51         1065.24         1206.36
            67515582              61        17.43        20.59         1063.23         1255.99
            39347416              68        18.06        23.68         1228.08         1610.24
            76254359              49        10.58        14.73          518.42          721.77
            50310242              84        10.30        13.80          865.20         1159.20
            79170842              16        29.59        34.75          473.44          556.00
            79902221              71        22.07        25.66         1566.97         1821.86
            58810322               4        19.17        25.03           76.68          100.12
            78039357              82        16.45        22.40         1348.90         1836.80
            55344433              71        29.00        34.35         2059.00         2438.85
            32407988              15        28.85        34.65          432.75          519.75
            53518629              69        11.66        17.49          804.54         1206.81
            21323997              81        12.74        16.19         1031.94         1311.39
            28810429              81        29.49        33.01         2388.69         2673.81
            54404663              50        25.23        29.16         1261.50         1458.00
            77189549              21        21.15        24.64          444.15          517.44
            77085365              41        22.53        26.66          923.73         1093.06
            40036792              65        17.31        23.16         1125.15         1505.40
            40278707              84        20.15        24.30         1692.60         2041.20
            16618211              24        17.44        20.78          418.56          498.72
            66992188              85        29.40        33.97         2499.00         2887.45
            41989446              16        22.21        27.26          355.36          436.16
            17692750              97        18.54        23.26         1798.38         2256.22
            61299263              98        29.11        33.01         2852.78         3234.98
            16224831              41        11.63        16.47          476.83          675.27
            15495526              36        16.20        20.47          583.20          736.92
            15555649              71        18.67        22.08         1325.57         1567.68
            44928407              38        14.42        20.03          547.96          761.14
            54756389               6        10.30        13.48           61.80           80.88
            77803747              70        26.72        29.74         1870.40         2081.80
            12968942              80        18.72        22.47         1497.60         1797.60
            52968876              99        11.77        17.62         1165.23         1744.38
            17800899              16        22.20        26.01          355.20          416.16
            78122228              85        13.73        18.55         1167.05         1576.75
            21523085              56        18.54        22.90         1038.24         1282.40
            69855441              96        15.56        18.77         1493.76         1801.92
            80101956              97        23.40        28.25         2269.80         2740.25
            22971931              40        17.84        23.59          713.60          943.60
            42770709              50        12.19        15.44          609.50          772.00
            49996948              32        21.50        26.64          688.00          852.48
            22387159              81        13.54        19.15         1096.74         1551.15
            56953445              35        21.16        25.85          740.60          904.75
            18977685              81        16.39        20.36         1327.59         1649.16
            54366510              24        13.73        18.58          329.52          445.92
            56886748              18        24.94        30.92          448.92          556.56
            52392582              78        16.69        20.31         1301.82         1584.18
            87951178              60        18.19        23.37         1091.40         1402.20
            31761910              89        17.84        23.01         1587.76         2047.89
            35631998              79        25.89        29.56         2045.31         2335.24
            65915441              71        18.19        24.01         1291.49         1704.71
            75630018              41        10.08        15.68          413.28          642.88
            11531675              85        10.99        16.11          934.15         1369.35
            32827437               8        20.49        24.73          163.92          197.84
            58038988              62        13.42        17.69          832.04         1096.78
            67167784               7        20.82        24.08          145.74          168.56
            57630177              38        26.52        29.81         1007.76         1132.78
            69865581              94        21.26        26.45         1998.44         2486.30
            78629863               8        24.51        28.31          196.08          226.48
            11587650              37        10.76        14.92          398.12          552.04
            83980353              56        20.50        25.99         1148.00         1455.44
            31187804              66        20.23        25.46         1335.18         1680.36
            32945551              21        21.25        26.10          446.25          548.10
            65237455              56        12.63        17.39          707.28          973.84
            21340084              74        23.88        29.40         1767.12         2175.60
            34389249              83        17.68        22.58         1467.44         1874.14
            34751590              46        12.60        16.52          579.60          759.92
            15039599               1        21.53        26.95           21.53           26.95
            15963630               5        29.36        32.93          146.80          164.65
            81138617              46        15.15        19.76          696.90          908.96
            73638310              31        14.74        19.35          456.94          599.85
            28166727               8        17.58        23.34          140.64          186.72
            66125098              44        22.44        28.41          987.36         1250.04
            53972005              43        22.81        28.51          980.83         1225.93
            60384491              55        28.17        32.53         1549.35         1789.15
            60289116               3        14.50        18.91           43.50           56.73
            37948824              62        25.06        28.67         1553.72         1777.54
            77514121              29        23.08        26.38          669.32          765.02
            82701870              86        10.09        15.23          867.74         1309.78
            50536431              89        26.48        29.98         2356.72         2668.22
            46182485              57        11.19        15.73          637.83          896.61
            38944334              93        13.73        18.51         1276.89         1721.43
            62839762              93        14.75        20.19         1371.75         1877.67
            79153401              57        24.13        27.24         1375.41         1552.68
            28166727               8        17.58        23.34          140.64          186.72
            38334221               7        26.57        32.06          185.99          224.42
            39421903              19        10.45        16.29          198.55          309.51
            59142280              97        20.84        25.19         2021.48         2443.43
            79065482              77        15.63        21.13         1203.51         1627.01
            35071419              50        18.92        22.88          946.00         1144.00
            78039357              82        16.45        22.40         1348.90         1836.80
            56411306              64        10.97        16.64          702.08         1064.96
            47553915              25        19.60        25.24          490.00          631.00
            39458442              23        20.49        26.06          471.27          599.38
            73831091              86        25.67        30.20         2207.62         2597.20
            67317709              16        10.27        15.03          164.32          240.48
            17559533              50        24.91        30.57         1245.50         1528.50
            24718062              29        24.71        30.57          716.59          886.53
            21523085              56        18.54        22.90         1038.24         1282.40
            33686751              46        20.10        23.74          924.60         1092.04
            69855441              96        15.56        18.77         1493.76         1801.92
            43548519              44        13.50        16.95          594.00          745.80
            13174473              91        29.75        35.68         2707.25         3246.88
            77435552              39        12.08        17.33          471.12          675.87
            85941566              18        21.95        27.00          395.10          486.00
            15276046              96        15.72        19.42         1509.12         1864.32
            57978117              10        28.15        33.61          281.50          336.10
            83391843              30        20.31        23.67          609.30          710.10
            49265048              58        13.50        18.90          783.00         1096.20
            58782510              80        21.90        25.49         1752.00         2039.20
            19121129              99        11.37        14.84         1125.63         1469.16
            54036898              68        10.71        13.78          728.28          937.04
            50295179              88        23.09        28.10         2031.92         2472.80
            82258988              50        17.04        20.76          852.00         1038.00
            21291543              84        21.88        27.76         1837.92         2331.84
            35342162              75        29.91        34.65         2243.25         2598.75
            63706075              21        15.39        21.26          323.19          446.46
            29022294              63        14.43        18.23          909.09         1148.49
            43210345              76        11.33        14.55          861.08         1105.80
            54667311              34        13.30        17.40          452.20          591.60
            60384491              55        28.17        32.53         1549.35         1789.15
            43849621              22        20.16        23.82          443.52          524.04
            76601028              28        21.49        25.62          601.72          717.36
            27176633              51        12.76        16.22          650.76          827.22
            78407458               4        16.28        21.33           65.12           85.32
            62963680              36        17.16        22.50          617.76          810.00
            27572106              22        25.71        31.56          565.62          694.32
            35631998              79        25.89        29.56         2045.31         2335.24
            29691501              57        22.78        28.28         1298.46         1611.96
            14578137              41        16.99        21.27          696.59          872.07
            66314342              42        21.79        27.58          915.18         1158.36
            83740526              23        19.56        22.59          449.88          519.57
            22231544              65        23.11        28.16         1502.15         1830.40
            14698138              39        15.68        21.08          611.52          822.12
            80101873              62        28.13        32.28         1744.06         2001.36
            81138617              46        15.15        19.76          696.90          908.96
            43984612              76        25.76        31.51         1957.76         2394.76
            11587650              37        10.76        14.92          398.12          552.04
            36760711              52        18.94        23.46          984.88         1219.92
            78023688              28        29.67        35.41          830.76          991.48
            62028894              95        28.44        33.25         2701.80         3158.75
            15388347              59        27.85        32.62         1643.15         1924.58
            43984612              76        25.76        31.51         1957.76         2394.76
            80437590              89        12.47        17.70         1109.83         1575.30
            65853384              51        18.67        22.56          952.17         1150.56
            34850784              89        12.43        15.68         1106.27         1395.52
            52968876              99        11.77        17.62         1165.23         1744.38
